prediction_id,timestamp,match_date,league,home_team,away_team,recommended_market,recommendation,confidence,signal_clarity,ml_prediction,ml_confidence,upset_risk,risk_level,debate_triggered,verdict_type,market_value,actual_result,correct,result_timestamp,notes
西布朗_沃特福德_2026-04-21,2026-04-28T13:11:05.342469,2026-04-21T18:45:00Z,英格兰冠军联赛,西布朗,沃特福德,让球盘,Watford +0.75,50.9,,,0,0,,,,0,pending,,,
国际米兰_科莫_2026-04-21,2026-04-28T13:11:05.330385,2026-04-21T19:00:00Z,意大利杯,国际米兰,科莫,让球盘,Inter Milan -0.50,50.8,,,0,0,,,,0,pending,,,
朗斯_图卢兹_2026-04-21,2026-04-28T13:11:05.336267,2026-04-21T19:10:00Z,法国杯,朗斯,图卢兹,让球盘,RC Lens -1.00,45.7,,,0,0,,,,0,pending,,,
赫罗纳_皇家贝蒂斯_2026-04-21,2026-04-28T13:11:05.329466,2026-04-21T19:30:00Z,西班牙甲级联赛,赫罗纳,皇家贝蒂斯,让球盘,谨慎或放弃,31.4,,,0,0,,,,0,pending,,,
皇家马德里_阿拉维斯_2026-04-21,2026-04-28T13:11:05.337625,2026-04-21T19:30:00Z,西班牙甲级联赛,皇家马德里,阿拉维斯,让球盘,Real Madrid -1.75,36.2,,,0,0,,,,0,pending,,,
勒沃库森_拜仁慕尼黑_2026-04-22,2026-04-28T13:11:05.323871,2026-04-22T18:45:00Z,德国杯,勒沃库森,拜仁慕尼黑,大小球,大球 3.5球,37.4,,,0,0,,,,0,pending,,,
前进之鹰_阿尔克马尔_2026-04-23,2026-04-28T13:11:05.329805,2026-04-23T16:45:00Z,荷兰甲级联赛,前进之鹰,阿尔克马尔,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
莱万特_塞维利亚_2026-04-23,2026-04-28T13:11:05.331614,2026-04-23T17:00:00Z,西班牙甲级联赛,莱万特,塞维利亚,让球盘,谨慎或放弃,31.4,,,0,0,,,,0,pending,,,
马尔默_天狼星_2026-04-23,2026-04-28T13:11:05.332254,2026-04-23T17:00:00Z,瑞典超级联赛,马尔默,天狼星,让球盘,谨慎或放弃,31.4,,,0,0,,,,0,pending,,,
卡萨比亚_布拉加_2026-04-23,2026-04-28T13:11:05.325391,2026-04-23T18:00:00Z,葡萄牙超级联赛,卡萨比亚,布拉加,让球盘,Casa Pia +1.00,36.4,,,0,0,,,,0,pending,,,
巴列卡诺_西班牙人_2026-04-23,2026-04-28T13:11:05.336567,2026-04-23T18:00:00Z,西班牙甲级联赛,巴列卡诺,西班牙人,让球盘,Espanyol +0.50,46.6,,,0,0,,,,0,pending,,,
埃因霍温_兹沃勒_2026-04-23,2026-04-28T13:11:05.335054,2026-04-23T19:00:00Z,荷兰甲级联赛,埃因霍温,兹沃勒,让球盘,FC Zwolle +2.25,34.7,,,0,0,,,,0,pending,,,
皇家奥维耶多_比利亚雷亚尔_2026-04-23,2026-04-28T13:11:05.334634,2026-04-23T19:30:00Z,西班牙甲级联赛,皇家奥维耶多,比利亚雷亚尔,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
麦克阿瑟FC_惠灵顿凤凰_2026-04-24,2026-04-28T13:11:05.331915,2026-04-24T09:35:00Z,澳大利亚A联赛,麦克阿瑟FC,惠灵顿凤凰,让球盘,谨慎或放弃,30.9,,,0,0,,,,0,pending,,,
柏太阳神_鹿岛鹿角_2026-04-24,2026-04-28T13:11:05.331345,2026-04-24T10:00:00Z,日本J联赛,柏太阳神,鹿岛鹿角,大小球,大球 2.25球,44.8,,,0,0,,,,0,pending,,,
TPS土尔库_格尼斯坦_2026-04-24,2026-04-28T13:11:05.341098,2026-04-24T15:00:00Z,芬兰超级联赛,TPS土尔库,格尼斯坦,让球盘,谨慎或放弃,32.4,,,0,0,,,,0,pending,,,
哈森姆_利亚德体育_2026-04-24,2026-04-28T13:11:05.320605,2026-04-24T16:10:00Z,沙特阿拉伯职业联赛,哈森姆,利亚德体育,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
凯泽斯劳滕_布伦瑞克_2026-04-24,2026-04-28T13:11:05.318796,2026-04-24T16:30:00Z,德国乙级联赛,凯泽斯劳滕,布伦瑞克,让球盘,谨慎或放弃,32.4,,,0,0,,,,0,pending,,,
杜塞尔多夫_德累斯顿_2026-04-24,2026-04-28T13:11:05.328325,2026-04-24T16:30:00Z,德国乙级联赛,杜塞尔多夫,德累斯顿,让球盘,谨慎或放弃,33.8,,,0,0,,,,0,pending,,,
亚眠_蒙彼利埃_2026-04-24,2026-04-28T13:11:05.321030,2026-04-24T18:00:00Z,法国乙级联赛,亚眠,蒙彼利埃,让球盘,Amiens +0.50,38.7,,,0,0,,,,0,pending,,,
拉瓦勒_罗德兹_2026-04-24,2026-04-28T13:11:05.339421,2026-04-24T18:00:00Z,法国乙级联赛,拉瓦勒,罗德兹,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
莱比锡红牛_柏林联合_2026-04-24,2026-04-28T13:11:05.336169,2026-04-24T18:30:00Z,德国甲级联赛,莱比锡红牛,柏林联合,大小球,小球 3.25球,45.9,,,0,0,,,,0,pending,,,
布雷斯特_朗斯_2026-04-24,2026-04-28T13:11:05.325244,2026-04-24T18:45:00Z,法国甲级联赛,布雷斯特,朗斯,大小球,大球 2.75球,30,,,0,0,,,,0,pending,,,
那不勒斯_克雷莫纳_2026-04-24,2026-04-28T13:11:05.333194,2026-04-24T18:45:00Z,意大利甲级联赛,那不勒斯,克雷莫纳,让球盘,Cremonese +1.50,48.7,,,0,0,,,,0,pending,,,
皇家贝蒂斯_皇家马德里_2026-04-24,2026-04-28T13:11:05.336664,2026-04-24T19:00:00Z,西班牙甲级联赛,皇家贝蒂斯,皇家马德里,大小球,大球 3.0球,30,,,0,0,,,,0,pending,,,
桑德兰_诺丁汉森林_2026-04-24,2026-04-28T13:11:05.340299,2026-04-24T19:00:00Z,英格兰超级联赛,桑德兰,诺丁汉森林,让球盘,谨慎或放弃,30.5,,,0,0,,,,0,pending,,,
艾华卡_阿罗卡_2026-04-24,2026-04-28T13:11:05.320892,2026-04-24T19:15:00Z,葡萄牙超级联赛,艾华卡,阿罗卡,让球盘,谨慎或放弃,34.8,,,0,0,,,,0,pending,,,
纽卡斯尔喷射机_中央海岸水手_2026-04-25,2026-04-28T13:11:05.333421,2026-04-25T07:00:00Z,澳大利亚A联赛,纽卡斯尔喷射机,中央海岸水手,让球盘,Central Coast Mariners +0.75,52.4,,,0,0,,,,0,pending,,,
西悉尼流浪者_墨尔本胜利_2026-04-25,2026-04-28T13:11:05.342684,2026-04-25T09:35:00Z,澳大利亚A联赛,西悉尼流浪者,墨尔本胜利,让球盘,Western Sydney Wanderers +0.50,38.5,,,0,0,,,,0,pending,,,
普鲁士明斯特_比勒菲尔德_2026-04-25,2026-04-28T13:11:05.338602,2026-04-25T11:00:00Z,德国乙级联赛,普鲁士明斯特,比勒菲尔德,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
富勒姆_阿斯顿维拉_2026-04-25,2026-04-28T13:11:05.328442,2026-04-25T11:30:00Z,英格兰超级联赛,富勒姆,阿斯顿维拉,让球盘,谨慎或放弃,30.1,,,0,0,,,,0,pending,,,
西布罗姆维奇_伊普斯维奇_2026-04-25,2026-04-28T13:11:05.342349,2026-04-25T11:30:00Z,英格兰冠军联赛,西布罗姆维奇,伊普斯维奇,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
阿拉维斯_马洛卡_2026-04-25,2026-04-28T13:11:05.320761,2026-04-25T12:00:00Z,西班牙甲级联赛,阿拉维斯,马洛卡,让球盘,谨慎或放弃,35.9,,,0,0,,,,0,pending,,,
帕尔马_比萨_2026-04-25,2026-04-28T13:11:05.335894,2026-04-25T13:00:00Z,意大利甲级联赛,帕尔马,比萨,让球盘,谨慎或放弃,34.4,,,0,0,,,,0,pending,,,
海登海姆_圣保利_2026-04-25,2026-04-28T13:11:05.318597,2026-04-25T13:30:00Z,德国甲级联赛,海登海姆,圣保利,让球盘,谨慎或放弃,31.6,,,0,0,,,,0,pending,,,
科隆_勒沃库森_2026-04-25,2026-04-28T13:11:05.318941,2026-04-25T13:30:00Z,德国甲级联赛,科隆,勒沃库森,大小球,小球 3.25球,30,,,0,0,,,,0,pending,,,
奥格斯堡_法兰克福_2026-04-25,2026-04-28T13:11:05.322972,2026-04-25T13:30:00Z,德国甲级联赛,奥格斯堡,法兰克福,让球盘,谨慎或放弃,30,,,0,0,,,,0,pending,,,
美因茨_拜仁慕尼黑_2026-04-25,2026-04-28T13:11:05.326865,2026-04-25T13:30:00Z,德国甲级联赛,美因茨,拜仁慕尼黑,让球盘,FSV Mainz 05 +0.75,38.1,,,0,0,,,,0,pending,,,
沃尔夫斯堡_门兴格拉德巴赫_2026-04-25,2026-04-28T13:11:05.342250,2026-04-25T13:30:00Z,德国甲级联赛,沃尔夫斯堡,门兴格拉德巴赫,大小球,小球 3.0球,44.2,,,0,0,,,,0,pending,,,
利物浦_水晶宫_2026-04-25,2026-04-28T13:11:05.331709,2026-04-25T14:00:00Z,英格兰超级联赛,利物浦,水晶宫,让球盘,谨慎或放弃,43.6,,,0,0,,,,0,pending,,,
西汉姆联_埃弗顿_2026-04-25,2026-04-28T13:11:05.342578,2026-04-25T14:00:00Z,英格兰超级联赛,西汉姆联,埃弗顿,让球盘,谨慎或放弃,31.7,,,0,0,,,,0,pending,,,
狼队_托特纳姆热刺_2026-04-25,2026-04-28T13:11:05.342780,2026-04-25T14:00:00Z,英格兰超级联赛,狼队,托特纳姆热刺,大小球,小球 3.0球,30,,,0,0,,,,0,pending,,,
